Identifier ,Schema Name/Title,Creator(s)/Curator(s),Maintenance organization,"Place: Publisher, date.",Summary / Abstract ,Format(s) ,Language,Physical Location,Online Location ,Earlier versions (editions) …,History of versioning:,Version Notes: ,Last Updated: ,Number of terms in system,Phenomena included,Disciplines included,Direct domains included,Related to: ,BARTOC Link,ICC Classification ,NARCIS Classification ,KOS Types Vocabulary
KOS.SSH.1,Cataloging cultural objects : CCO; a guide to describing cultural works and their images,"Murtha Baca, Patricia Harpring, Elisa Lanzi, Linda McRae, Ann Baird Whiteside ",Visual Resources Association,"Chicago : American Library Association, 2006","Serving as a data content standard focused on cultural materials, this work offers practical resources for cataloging and flexibility to meet the needs of a range of institutions - from libraries to museums to archives to visual collections.","Printed Book, eBook.",en ,'KOS.1 '!A1:A12,'KOS.1 '!B1:B13,n/a,1st Edition,There is a reference made to a 2007 edition on WorldCat but no other records can be found to support this. ,n/a ,n/a,"Paintings; sculpture, prints, manuscripts, photographs, built works, installations, other visual media, cultural works, archaeological sites, artifacts, functional objects from the realm of material culture.",Cultural heritage,"Art, Architecture","TGN, ULAN, CONA, IA, CDWA, AAT.",n/a,038-961,"D35000;
D37000",n/a
KOS.SSH.2,Art & Architecture Thesaurus; AAT ,Toni Petersen,Getty Art History Information Program,"New York : Oxford University Press, 1990","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.",Printed Book.,en ,KOS.2!A1:A13,n/a,n/a,1st Edition ,n/a,n/a,n/a,n/a,"Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.1,Art & Architecture Thesaurus; AAT ,Toni Petersen,Getty Art History Information Program,"New York : Oxford University Press, 1992","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.",Printed Book.,en ,KOS.2!A26:A27,n/a,1st edition 1990,1st Edition: Supplement 1,n/a,n/a,n/a,n/a,"Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.2,Art & Architecture Thesaurus; AAT ,Toni Petersen,Getty Art History Information Program,"New York : Oxford University Press, 1994","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Printed Book, eBook, Online, Data Files, Computer Discs.",en ,KOS.2!A15,KOS.2!B15:B23,"1st edition supplement 1, 1992",2nd Edition ,n/a,n/a,n/a,n/a,"Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.3,Art & Architecture Thesaurus; AAT ,Toni Petersen,Getty Art History Information Program,"New York : Oxford University Press, 1994","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Digital, 6 computer discs ; 3 1/2-5 1/4 in. + 1 Introduction to the art and architecture thesaurus, 2nd ed. (250 pages ; 27 cm) + 1 quick-reference card + 1 user's manual for the Authority references tool ([126] pages ; 27 cm)",en ,KOS.2!A26:A27,n/a,2nd edition 1994,2nd Edition: Version 2.0 ,An electronic implementation of the printed Art & architecture thesaurus. Contains the same data as the printed edition except that elements of the data are tagged to allow for computer manipulation. Files are ASCII text.,n/a,n/a,n/a,"Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.4,Art & Architecture Thesaurus; AAT ,Toni Petersen,Getty Art History Information Program,"New York : Oxford University Press, 1994","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Digital, 3 computer discs ; 3 1/2 in. + 2 user manuals (27 cm) + 1 quick reference card (27 x 57 cm folded to 27 x 19 cm) + 1 general information card (24 x 57 cm folded to 24 x 15 cm) + 1 demo disc",en ,n/a,n/a,2nd edition 1994,2nd Edition: Version 2.1,An electronic implementation of the printed Art & architecture thesaurus. Contains the same data as the printed edition except that elements of the data are tagged to allow for computer manipulation. Files are ASCII text.,n/a,n/a,n/a,"Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.5,Art & Architecture Thesaurus; AAT ,"Currently, Patricia Harpring is Managing Editor of the Getty Vocabulary Program, reporting to Lily Pregill, Head of Getty Research Institute Information Systems and Institutional Metadata. 

Editors are Jonathan Ward, Robin Johnson, and Antonio Beecroft. 

The technical team is led by Joan Cobb, IT Project Manager Specialist, and Gregg Garcia, Software Architect. ",Getty Art History Information Program,The J. Paul Getty Trust,"The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Online, Digital, Data Files, Computer Discs.",en ,n/a,http://www.getty.edu/research/tools/vocabularies/aat/,2nd edition 1994,Online ,"*""Given the growing size and frequency of changes and additions to the AAT, by 1997 it had become evident that hard-copy publication was impractical.""

Source: http://www.getty.edu/research/tools/vocabularies/aat/about.html",July 2017,"As of July 2017, the AAT contains around 60,000 records and 375,000 terms. Among these, there are 15,420 candidate records still in process.","Associated Concepts: This facet contains abstract concepts and phenomena that relate to the study and execution of a wide range of human thought and activity, including architecture and art in all media, as well as related disciplines. Also covered here are theoretical and critical concerns, ideologies, attitudes, and social or cultural movements (e.g., beauty, balance, connoisseurship, metaphor, freedom, socialism). 

Physical Attributes: This facet concerns the perceptible or measurable characteristics of materials and artifacts as well as features of materials and artifacts that are not separable as components. Included are characteristics such as size and shape, chemical properties of materials, qualities of texture and hardness, and features such as surface ornament and color (e.g., strapwork, borders, round, waterlogged, brittleness). 

Styles and Periods: This facet provides commonly accepted terms for stylistic groupings and distinct chronological periods that are relevant to art, architecture, and the decorative arts (e.g., French, Louis XIV, Xia, Black-figure, Abstract Expressionist). 

Agents: The Agents facet contains terms for designations of people, groups of people, and organizations identified by occupation or activity, by physical or mental characteristics, or by social role or condition (e.g., printmakers, landscape architects, corporations, religious orders). Animals and plants are also gradually being added to the Living Organisms hierarchy of this facet. 

Activities: This facet encompasses areas of endeavor, physical and mental actions, discrete occurrences, systematic sequences of actions, methods employed toward a certain end, and processes occurring in materials or objects. Activities may range from branches of learning and professional fields to specific life events, from mentally executed tasks to processes performed on or with materials and objects, from single physical actions to complex games (e.g., archaeology, engineering, analyzing, contests, exhibitions, running, drawing (image-making), corrosion). 

Materials: The Materials facet deals with physical substances, whether naturally or synthetically derived. These range from specific materials to types of materials designed by their function, such as colorants, and from raw materials to those that have been formed or processed into products that are used in fabricating structures or objects (e.g., iron, clay, adhesive, emulsifier, artificial ivory, millwork). 

Objects: The Objects facet is the largest of all the AAT facets. It encompasses those discrete tangible or visible things that are inanimate and produced by human endeavor; that is, that are either fabricated or given form by human activity. These range, in physical form, from built works to images and written documents. They range in purpose from utilitarian to the aesthetic. Also included are landscape features that provide the context for the built environment (e.g., paintings, amphorae, facades, cathedrals, Brewster chairs, gardens).  

Brand Names: The Brand Names facet was recently added to allow additions from the conservation community, particularly where a material or process does not have a generic name (e.g., Art Sorb (TM); Aquazol (TM); Papersave Process (TM)).","Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.6,Nederlandstalige AAT,Reem Weda,RKD-Nederlands Instituut voor Kunstgeschiedenis (& Getty Art History Information Program),"The Hague : RKD- Nederlands Instituut voor Kunstgeschiedenis, 2012","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Online, Digital",nl,n/a,http://website.aat-ned.nl,See link in version notes. ,"Online, Version NL",http://website.aat-ned.nl/toelichting-op-de-aat/Historie%20AAT-Ned,Continually updated resource. ,n/a ,"Abstract concepts
Activities
Physical characteristics
Materials
Objects
Actors and organisms
Styles and periods","Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.7,AAT-Deutsch,Frau Prof. Hagedorn-Saupe,"Institut für Museumsforschung 
(& Getty Art History Information Program)","Berlin :  Institut für Museumsforschung, 2014","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Online, Digital",de,n/a,http://www.aat-deutsch.de,Online ,"Online, Version DE",The German version of the AAT® received its own online portal in 2014.,n/a,"The vocabulary currently comprises about 40,000 terms with more than 250,000 names in different languages.","Objects (eg altar cross, plane) 
Material (eg parchment, ox gall) 
Styles / periods (eg Art Nouveau, Renaissance) 
Actors (eg gallerist, suffragette) 
Physical attributes (eg absorbency, green) 
Activities (eg tennis, meditation ) 
Associated terms (eg genius, satire) 
Brand names (eg Teflon)","Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
KOS.SSH.2.8,TAA; El Tesauro de Arte & Arquitectura,n/a,"El Centro de Documentación de Bienes Patrimoniales, dependiente de la Dirección de Bibliotecas, Archivos y Museos 
(& Getty Art History Information Program)","Santiago : El Centro de Documentación de Bienes Patrimoniales, dependiente de la Dirección de Bibliotecas, Archivos y Museos, Gobierno de Chile","The AAT is a structured vocabulary containing terms and other information about concepts. Terms in AAT may be used to describe art, architecture, decorative arts, material culture, and archival materials.","Online, Digital",es,n/a,http://www.aatespanol.cl/taa/publico/buscar.htm,Online ,"Online, Version ES",n/a,n/a,n/a,"Associated Concepts, Physical Attributes, Styles and Periods, Agent, Activities, Materials, Objects.","Art, Architecture",Art; Architecture,"TGN, ULAN, CONA, IA, CDWA, CCO.",http://bartoc.org/en/node/75,048-94,D35100,Thesaurus
